session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-08-18,CHU,OPT,CHUU6 C1070,2026-09-04,C,1.07,0.164200000,3,
2026-08-18,CHU,OPT,CHUU6 C1080,2026-09-04,C,1.08,0.154200000,3,
2026-08-18,CHU,OPT,CHUU6 C1090,2026-09-04,C,1.09,0.144200000,3,
2026-08-18,CHU,OPT,CHUU6 C1100,2026-09-04,C,1.1,0.134200000,3,
2026-08-18,CHU,OPT,CHUU6 C1110,2026-09-04,C,1.11,0.124200000,3,
2026-08-18,CHU,OPT,CHUU6 C1115,2026-09-04,C,1.115,0.119200000,3,
2026-08-18,CHU,OPT,CHUU6 C1120,2026-09-04,C,1.12,0.114300000,3,
2026-08-18,CHU,OPT,CHUU6 C1125,2026-09-04,C,1.125,0.109300000,3,
2026-08-18,CHU,OPT,CHUU6 C1130,2026-09-04,C,1.13,0.104300000,3,
2026-08-18,CHU,OPT,CHUU6 C1135,2026-09-04,C,1.135,0.099300000,3,
2026-08-18,CHU,OPT,CHUU6 C1140,2026-09-04,C,1.14,0.094300000,3,
2026-08-18,CHU,OPT,CHUU6 C1145,2026-09-04,C,1.145,0.089300000,3,
2026-08-18,CHU,OPT,CHUU6 C1150,2026-09-04,C,1.15,0.084300000,3,
2026-08-18,CHU,OPT,CHUU6 C1155,2026-09-04,C,1.155,0.079300000,3,
2026-08-18,CHU,OPT,CHUU6 C1160,2026-09-04,C,1.16,0.074300000,3,
2026-08-18,CHU,OPT,CHUU6 C1165,2026-09-04,C,1.165,0.069300000,3,
2026-08-18,CHU,OPT,CHUU6 C1170,2026-09-04,C,1.17,0.064300000,3,
2026-08-18,CHU,OPT,CHUU6 C1175,2026-09-04,C,1.175,0.059400000,3,
2026-08-18,CHU,OPT,CHUU6 C1180,2026-09-04,C,1.18,0.054500000,3,
2026-08-18,CHU,OPT,CHUU6 C1185,2026-09-04,C,1.185,0.049500000,3,
2026-08-18,CHU,OPT,CHUU6 C1190,2026-09-04,C,1.19,0.044500000,3,
2026-08-18,CHU,OPT,CHUU6 C1195,2026-09-04,C,1.195,0.039500000,3,
2026-08-18,CHU,OPT,CHUU6 C1200,2026-09-04,C,1.2,0.034600000,3,
2026-08-18,CHU,OPT,CHUU6 C1205,2026-09-04,C,1.205,0.029700000,3,
2026-08-18,CHU,OPT,CHUU6 C1210,2026-09-04,C,1.21,0.024900000,3,
2026-08-18,CHU,OPT,CHUU6 C1215,2026-09-04,C,1.215,0.020300000,3,
2026-08-18,CHU,OPT,CHUU6 C1220,2026-09-04,C,1.22,0.016100000,3,
2026-08-18,CHU,OPT,CHUU6 C1225,2026-09-04,C,1.225,0.012300000,3,
2026-08-18,CHU,OPT,CHUU6 C1230,2026-09-04,C,1.23,0.009000000,3,81
2026-08-18,CHU,OPT,CHUU6 C1235,2026-09-04,C,1.235,0.006300000,3,95
2026-08-18,CHU,OPT,CHUU6 C1240,2026-09-04,C,1.24,0.004200000,3,1479
2026-08-18,CHU,OPT,CHUU6 C1245,2026-09-04,C,1.245,0.002700000,3,218
2026-08-18,CHU,OPT,CHUU6 C1250,2026-09-04,C,1.25,0.001800000,3,2438
2026-08-18,CHU,OPT,CHUU6 C1255,2026-09-04,C,1.255,0.001200000,3,3811
2026-08-18,CHU,OPT,CHUU6 C1260,2026-09-04,C,1.26,0.000800000,3,51
2026-08-18,CHU,OPT,CHUU6 C1265,2026-09-04,C,1.265,0.000500000,3,13
2026-08-18,CHU,OPT,CHUU6 C1270,2026-09-04,C,1.27,0.000350000,3,460
2026-08-18,CHU,OPT,CHUU6 C1275,2026-09-04,C,1.275,0.000200000,3,215
2026-08-18,CHU,OPT,CHUU6 C1280,2026-09-04,C,1.28,0.000150000,3,80
2026-08-18,CHU,OPT,CHUU6 C1285,2026-09-04,C,1.285,0.000100000,3,9
2026-08-18,CHU,OPT,CHUU6 C1290,2026-09-04,C,1.29,0.000050000,3,78
2026-08-18,CHU,OPT,CHUU6 C1295,2026-09-04,C,1.295,0.000050000,3,77
2026-08-18,CHU,OPT,CHUU6 C1300,2026-09-04,C,1.3,0.000050000,3,28
2026-08-18,CHU,OPT,CHUU6 C1305,2026-09-04,C,1.305,0.000050000,3,29
2026-08-18,CHU,OPT,CHUU6 C1310,2026-09-04,C,1.31,0.000050000,3,45
2026-08-18,CHU,OPT,CHUU6 C1315,2026-09-04,C,1.315,0.000050000,3,33
2026-08-18,CHU,OPT,CHUU6 C1320,2026-09-04,C,1.32,0.000050000,3,45
2026-08-18,CHU,OPT,CHUU6 C1325,2026-09-04,C,1.325,0.000050000,3,48
2026-08-18,CHU,OPT,CHUU6 C1330,2026-09-04,C,1.33,0.000050000,3,2
2026-08-18,CHU,OPT,CHUU6 C1335,2026-09-04,C,1.335,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 C1340,2026-09-04,C,1.34,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 C1345,2026-09-04,C,1.345,0.000050000,3,4
2026-08-18,CHU,OPT,CHUU6 C1350,2026-09-04,C,1.35,0.000050000,3,3
2026-08-18,CHU,OPT,CHUU6 C1355,2026-09-04,C,1.355,0.000050000,3,5
2026-08-18,CHU,OPT,CHUU6 C1360,2026-09-04,C,1.36,0.000050000,3,1
2026-08-18,CHU,OPT,CHUU6 C1365,2026-09-04,C,1.365,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 C1370,2026-09-04,C,1.37,0.000050000,3,1
2026-08-18,CHU,OPT,CHUU6 C1375,2026-09-04,C,1.375,0.000050000,3,1
2026-08-18,CHU,OPT,CHUU6 C1380,2026-09-04,C,1.38,0.000050000,3,1
2026-08-18,CHU,OPT,CHUU6 C1385,2026-09-04,C,1.385,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 C1390,2026-09-04,C,1.39,0.000050000,3,1
2026-08-18,CHU,OPT,CHUU6 C1400,2026-09-04,C,1.4,0.000050000,3,2
2026-08-18,CHU,OPT,CHUU6 C1410,2026-09-04,C,1.41,0.000050000,3,1
2026-08-18,CHU,OPT,CHUU6 C1420,2026-09-04,C,1.42,0.000050000,3,2
2026-08-18,CHU,OPT,CHUU6 C1430,2026-09-04,C,1.43,0.000050000,3,6
2026-08-18,CHU,OPT,CHUU6 P1070,2026-09-04,P,1.07,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1080,2026-09-04,P,1.08,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1090,2026-09-04,P,1.09,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1100,2026-09-04,P,1.1,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1110,2026-09-04,P,1.11,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1115,2026-09-04,P,1.115,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1120,2026-09-04,P,1.12,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1125,2026-09-04,P,1.125,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1130,2026-09-04,P,1.13,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1135,2026-09-04,P,1.135,0.000050000,3,5
2026-08-18,CHU,OPT,CHUU6 P1140,2026-09-04,P,1.14,0.000050000,3,1
2026-08-18,CHU,OPT,CHUU6 P1145,2026-09-04,P,1.145,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1150,2026-09-04,P,1.15,0.000050000,3,2
2026-08-18,CHU,OPT,CHUU6 P1155,2026-09-04,P,1.155,0.000050000,3,1
2026-08-18,CHU,OPT,CHUU6 P1160,2026-09-04,P,1.16,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1165,2026-09-04,P,1.165,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1170,2026-09-04,P,1.17,0.000050000,3,5
2026-08-18,CHU,OPT,CHUU6 P1175,2026-09-04,P,1.175,0.000050000,3,
2026-08-18,CHU,OPT,CHUU6 P1180,2026-09-04,P,1.18,0.000100000,3,9
2026-08-18,CHU,OPT,CHUU6 P1185,2026-09-04,P,1.185,0.000150000,3,
2026-08-18,CHU,OPT,CHUU6 P1190,2026-09-04,P,1.19,0.000150000,3,
2026-08-18,CHU,OPT,CHUU6 P1195,2026-09-04,P,1.195,0.000150000,3,2
2026-08-18,CHU,OPT,CHUU6 P1200,2026-09-04,P,1.2,0.000200000,3,20
2026-08-18,CHU,OPT,CHUU6 P1205,2026-09-04,P,1.205,0.000300000,3,1
2026-08-18,CHU,OPT,CHUU6 P1210,2026-09-04,P,1.21,0.000500000,3,5
2026-08-18,CHU,OPT,CHUU6 P1215,2026-09-04,P,1.215,0.000900000,3,23
2026-08-18,CHU,OPT,CHUU6 P1220,2026-09-04,P,1.22,0.001700000,3,12
2026-08-18,CHU,OPT,CHUU6 P1225,2026-09-04,P,1.225,0.002800000,3,18
2026-08-18,CHU,OPT,CHUU6 P1230,2026-09-04,P,1.23,0.004500000,3,86
2026-08-18,CHU,OPT,CHUU6 P1235,2026-09-04,P,1.235,0.006800000,3,341
2026-08-18,CHU,OPT,CHUU6 P1240,2026-09-04,P,1.24,0.009700000,3,596
2026-08-18,CHU,OPT,CHUU6 P1245,2026-09-04,P,1.245,0.013200000,3,172
2026-08-18,CHU,OPT,CHUU6 P1250,2026-09-04,P,1.25,0.017300000,3,202
2026-08-18,CHU,OPT,CHUU6 P1255,2026-09-04,P,1.255,0.021700000,3,192
2026-08-18,CHU,OPT,CHUU6 P1260,2026-09-04,P,1.26,0.026300000,3,157
2026-08-18,CHU,OPT,CHUU6 P1265,2026-09-04,P,1.265,0.031000000,3,38
2026-08-18,CHU,OPT,CHUU6 P1270,2026-09-04,P,1.27,0.035800000,3,12
2026-08-18,CHU,OPT,CHUU6 P1275,2026-09-04,P,1.275,0.040700000,3,5
2026-08-18,CHU,OPT,CHUU6 P1280,2026-09-04,P,1.28,0.045600000,3,676
2026-08-18,CHU,OPT,CHUU6 P1285,2026-09-04,P,1.285,0.050500000,3,39
2026-08-18,CHU,OPT,CHUU6 P1290,2026-09-04,P,1.29,0.055500000,3,35
2026-08-18,CHU,OPT,CHUU6 P1295,2026-09-04,P,1.295,0.060400000,3,22
2026-08-18,CHU,OPT,CHUU6 P1300,2026-09-04,P,1.3,0.065400000,3,55
2026-08-18,CHU,OPT,CHUU6 P1305,2026-09-04,P,1.305,0.070400000,3,
2026-08-18,CHU,OPT,CHUU6 P1310,2026-09-04,P,1.31,0.075400000,3,
