session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-08-10,6E,FUT,6EQ6,2026-08-17,,,1.154550000,3,9281
2026-08-10,6E,FUT,6EU6,2026-09-14,,,1.155850000,3,755103
2026-08-10,6E,FUT,6EV6,2026-10-19,,,1.157400000,3,5287
2026-08-10,6E,FUT,6EX6,2026-11-16,,,1.158650000,3,2317
2026-08-10,6E,FUT,6EZ6,2026-12-14,,,1.159900000,3,15287
2026-08-10,6E,FUT,6EF7,2027-01-15,,,1.161450000,3,2400
2026-08-10,6E,FUT,6EG7,2027-02-12,,,1.162750000,3,2519
2026-08-10,6E,FUT,6EH7,2027-03-15,,,1.164200000,3,3080
2026-08-10,6E,FUT,6EJ7,2027-04-19,,,1.165750000,3,
2026-08-10,6E,FUT,6EK7,2027-05-17,,,1.167050000,3,1000
2026-08-10,6E,FUT,6EM7,2027-06-14,,,1.168300000,3,3261
2026-08-10,6E,FUT,6EN7,2027-07-19,,,1.169900000,3,1000
2026-08-10,6E,FUT,6EQ7,2027-08-16,,,1.171150000,3,
2026-08-10,6E,FUT,6EU7,2027-09-13,,,1.172350000,3,1348
2026-08-10,6E,FUT,6EV7,2027-10-18,,,1.173900000,3,
2026-08-10,6E,FUT,6EX7,2027-11-15,,,1.175100000,3,
2026-08-10,6E,FUT,6EZ7,2027-12-13,,,1.176350000,3,1543
2026-08-10,6E,FUT,6EF8,2028-01-14,,,1.177750000,3,
2026-08-10,6E,FUT,6EG8,2028-02-14,,,1.179100000,3,
2026-08-10,6E,FUT,6EH8,2028-03-13,,,1.180300000,3,
2026-08-10,6E,FUT,6EJ8,2028-04-17,,,1.181850000,3,
2026-08-10,6E,FUT,6EK8,2028-05-15,,,1.183050000,3,
2026-08-10,6E,FUT,6EM8,2028-06-16,,,1.184450000,3,
2026-08-10,6E,FUT,6EN8,2028-07-17,,,1.185800000,3,
2026-08-10,6E,FUT,6EU8,2028-09-18,,,1.188550000,3,
2026-08-10,6E,FUT,6EZ8,2028-12-18,,,1.192550000,3,350
2026-08-10,6E,FUT,6EH9,2029-03-19,,,1.196550000,3,
2026-08-10,6E,FUT,6EM9,2029-06-15,,,1.200450000,3,
2026-08-10,6E,FUT,6EU9,2029-09-17,,,1.204600000,3,
2026-08-10,6E,FUT,6EZ9,2029-12-17,,,1.208600000,3,
2026-08-10,6E,FUT,6EH0,2030-03-18,,,1.212600000,3,
2026-08-10,6E,FUT,6EM0,2030-06-17,,,1.216600000,3,
2026-08-10,6E,FUT,6EU0,2030-09-16,,,1.220600000,3,
2026-08-10,6E,FUT,6EZ0,2030-12-16,,,1.224600000,3,
2026-08-10,6E,FUT,6EH1,2031-03-17,,,1.228600000,3,
2026-08-10,6E,FUT,6EM1,2031-06-16,,,1.232650000,3,
