session,usd_factor,dispersion,dispersion_pct,regime,n_clean,EUR_front,EUR_dte,EUR_F,EUR_atm,EUR_rr25,EUR_G,EUR_dG5,EUR_zG,EUR_zRR,EUR_zDG,EUR_score,EUR_residual,EUR_gate,EUR_conc_pct,EUR_oi_up_pct,EUR_cp_native,EUR_doi_pct,EUR_doi_net,EUR_pin,EUR_flow,EUR_next,EUR_n_iv,EUR_n_hist,GBP_front,GBP_dte,GBP_F,GBP_atm,GBP_rr25,GBP_G,GBP_dG5,GBP_zG,GBP_zRR,GBP_zDG,GBP_score,GBP_residual,GBP_gate,GBP_conc_pct,GBP_oi_up_pct,GBP_cp_native,GBP_doi_pct,GBP_doi_net,GBP_pin,GBP_flow,GBP_next,GBP_n_iv,GBP_n_hist,JPY_front,JPY_dte,JPY_F,JPY_atm,JPY_rr25,JPY_G,JPY_dG5,JPY_zG,JPY_zRR,JPY_zDG,JPY_score,JPY_residual,JPY_gate,JPY_conc_pct,JPY_oi_up_pct,JPY_cp_native,JPY_doi_pct,JPY_doi_net,JPY_pin,JPY_flow,JPY_next,JPY_n_iv,JPY_n_hist,AUD_front,AUD_dte,AUD_F,AUD_atm,AUD_rr25,AUD_G,AUD_dG5,AUD_zG,AUD_zRR,AUD_zDG,AUD_score,AUD_residual,AUD_gate,AUD_conc_pct,AUD_oi_up_pct,AUD_cp_native,AUD_doi_pct,AUD_doi_net,AUD_pin,AUD_flow,AUD_next,AUD_n_iv,AUD_n_hist,CAD_front,CAD_dte,CAD_F,CAD_atm,CAD_rr25,CAD_G,CAD_dG5,CAD_zG,CAD_zRR,CAD_zDG,CAD_score,CAD_residual,CAD_gate,CAD_conc_pct,CAD_oi_up_pct,CAD_cp_native,CAD_doi_pct,CAD_doi_net,CAD_pin,CAD_flow,CAD_next,CAD_n_iv,CAD_n_hist,CHF_front,CHF_dte,CHF_F,CHF_atm,CHF_rr25,CHF_G,CHF_dG5,CHF_zG,CHF_zRR,CHF_zDG,CHF_score,CHF_residual,CHF_gate,CHF_conc_pct,CHF_oi_up_pct,CHF_cp_native,CHF_doi_pct,CHF_doi_net,CHF_pin,CHF_flow,CHF_next,CHF_n_iv,CHF_n_hist,EURGBP_gap,EURGBP_dir,EURGBP_strength,EURGBP_eligible,EURGBP_flags,EURJPY_gap,EURJPY_dir,EURJPY_strength,EURJPY_eligible,EURJPY_flags,EURAUD_gap,EURAUD_dir,EURAUD_strength,EURAUD_eligible,EURAUD_flags,EURCAD_gap,EURCAD_dir,EURCAD_strength,EURCAD_eligible,EURCAD_flags,EURCHF_gap,EURCHF_dir,EURCHF_strength,EURCHF_eligible,EURCHF_flags,GBPJPY_gap,GBPJPY_dir,GBPJPY_strength,GBPJPY_eligible,GBPJPY_flags,GBPAUD_gap,GBPAUD_dir,GBPAUD_strength,GBPAUD_eligible,GBPAUD_flags,GBPCAD_gap,GBPCAD_dir,GBPCAD_strength,GBPCAD_eligible,GBPCAD_flags,GBPCHF_gap,GBPCHF_dir,GBPCHF_strength,GBPCHF_eligible,GBPCHF_flags,AUDJPY_gap,AUDJPY_dir,AUDJPY_strength,AUDJPY_eligible,AUDJPY_flags,CADJPY_gap,CADJPY_dir,CADJPY_strength,CADJPY_eligible,CADJPY_flags,CHFJPY_gap,CHFJPY_dir,CHFJPY_strength,CHFJPY_eligible,CHFJPY_flags,AUDCAD_gap,AUDCAD_dir,AUDCAD_strength,AUDCAD_eligible,AUDCAD_flags,AUDCHF_gap,AUDCHF_dir,AUDCHF_strength,AUDCHF_eligible,AUDCHF_flags,CADCHF_gap,CADCHF_dir,CADCHF_strength,CADCHF_eligible,CADCHF_flags
2026-06-01,,,,NA,0,2026-07-02,31,1.1652,0.050637,1.005152,0.176648,,,,,,,CLEAN,12.241951,64.031533,27/27,,,False,False,True,22,1,2026-07-02,31,1.3457,0.063433,-0.672162,-0.242864,,,,,,,CLEAN,17.509661,25.852466,18/19,,,True,False,True,31,1,2026-07-02,31,0.00628,0.069264,3.427949,0.454608,,,,,,,CLEAN,20.633723,90.24039,27/11,,,True,False,True,20,1,2026-07-02,31,0.7156,0.07965,-1.347461,-0.163669,,,,,,,CLEAN,21.031414,40.73822,13/19,,,False,False,True,19,1,2026-07-02,31,0.7237,0.049466,1.145282,0.473377,,,,,,,PROXY,26.555861,83.67908,16/8,,,False,False,True,9,1,2026-07-02,31,1.28595,0.06344,0.063422,0.120561,,,,,,,NA,30.391584,50.43834,2/4,,,False,False,True,38,1,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE,,—,,0,NO_VOTE
2026-06-02,-0.0,0.7413,,CROSS,4,2026-07-02,30,1.16485,0.054326,1.030669,0.198097,,0.5,0.5,,0.5,0.5,CLEAN,11.748653,70.7026,27/27,4.211302,0.015089,False,False,True,21,2,2026-07-02,30,1.3468,0.061924,-0.748209,-0.275137,,-0.5,-0.5,,-0.5,-0.5,CLEAN,17.152248,25.636455,18/19,2.017504,-0.012901,True,False,True,24,2,2026-07-02,30,0.006274,0.073795,3.53769,0.469887,,0.5,0.5,,0.5,0.5,CLEAN,20.876001,87.793385,27/11,13.524913,0.048489,False,False,True,20,2,2026-07-02,30,0.7173,0.076271,-1.450498,-0.204429,,-0.5,-0.5,,-0.5,-0.5,CLEAN,20.742538,40.209646,12/20,1.39267,-0.012147,False,False,True,18,2,2026-07-02,30,0.7242,0.051541,1.202673,0.460531,,-0.5,0.5,,0.0,0.0,PROXY,26.509481,83.657685,16/8,0.174956,0.00075,False,False,True,9,2,2026-07-02,30,1.2842,0.064028,0.004096,0.106107,,-0.5,-0.5,,-0.5,-0.5,NA,30.516432,50.938967,2/4,-0.409117,0.004091,False,False,True,37,2,1.0,▲,,1,PIN|NEXT,0.0,—,,1,NEXT,1.0,▲,,1,NEXT,0.5,▲,,0,NO_VOTE|NEXT,1.0,▲,,0,NO_VOTE|NEXT,-1.0,▼,,1,PIN|NEXT,0.0,—,,1,PIN|NEXT,-0.5,▼,,0,NO_VOTE|PIN|NEXT,0.0,—,,0,NO_VOTE|PIN|NEXT,-1.0,▼,,1,NEXT,-0.5,▼,,0,NO_VOTE|NEXT,-1.0,▼,,0,NO_VOTE|NEXT,-0.5,▼,,0,NO_VOTE|NEXT,0.0,—,,0,NO_VOTE|NEXT,0.5,▲,,0,NO_VOTE|NEXT
2026-06-03,-0.0,0.0,25.0,CROSS,4,2026-07-02,29,1.16175,0.055308,0.91213,0.275681,,0.666667,-0.666667,,0.0,0.0,CLEAN,11.671512,70.454641,28/26,0.673048,-0.005175,False,False,True,20,3,2026-07-02,29,1.3416,0.065171,-0.832562,-0.151099,,0.666667,-0.666667,,0.0,0.0,CLEAN,16.951112,28.077516,19/17,1.186563,-0.012311,True,False,True,25,3,2026-07-02,29,0.006269,0.074675,3.539265,0.479985,,0.666667,0.666667,,0.666667,0.666667,CLEAN,20.348122,87.42894,27/11,3.084126,0.009696,False,False,True,21,3,2026-07-02,29,0.7125,0.078278,-1.478251,0.054354,,0.666667,-0.666667,,0.0,0.0,CLEAN,18.271549,59.827155,14/18,13.523701,0.132758,False,False,True,18,3,2026-07-02,29,0.72085,0.037723,1.225391,0.400202,,-0.666667,0.666667,,0.0,0.0,PROXY,26.492956,83.655405,16/7,0.062375,-0.000374,False,False,True,9,3,2026-07-02,29,1.276,0.067835,0.046057,-0.07731,,-0.666667,0.0,,-0.333333,-0.333333,NA,30.3561,51.488616,3/3,0.528169,0.005282,False,False,True,38,3,0.0,—,25.0,1,PIN|NEXT,-0.666667,▼,75.0,1,NEXT,0.0,—,25.0,1,NEXT,0.0,—,25.0,0,NO_VOTE|NEXT,0.333333,▲,25.0,0,NO_VOTE|NEXT,-0.666667,▼,25.0,1,PIN|NEXT,0.0,—,50.0,1,PIN|NEXT,0.0,—,25.0,0,NO_VOTE|PIN|NEXT,0.333333,▲,75.0,0,NO_VOTE|PIN|NEXT,-0.666667,▼,25.0,1,NEXT,-0.666667,▼,75.0,0,NO_VOTE|NEXT,-1.0,▼,50.0,0,NO_VOTE|NEXT,0.0,—,25.0,0,NO_VOTE|NEXT,0.333333,▲,75.0,0,NO_VOTE|NEXT,0.333333,▲,25.0,0,NO_VOTE|NEXT
2026-06-04,0.25,0.185325,50.0,CROSS,4,2026-07-02,28,1.16325,0.054529,0.949223,0.171811,,-0.75,-0.25,,-0.5,-0.25,CLEAN,10.727334,66.698827,28/26,9.181309,-0.04465,False,False,True,22,4,2026-07-02,28,1.3423,0.062808,-0.842543,-0.163889,,0.25,-0.75,,-0.25,0.0,CLEAN,16.180413,28.623246,20/17,4.729135,-0.009084,True,False,True,23,4,2026-07-02,28,0.006267,0.07019,3.491556,0.508956,,0.75,-0.25,,0.25,0.5,CLEAN,20.473595,88.028252,27/11,-0.011721,0.010901,False,False,True,19,4,2026-07-02,28,0.71315,0.074416,-1.616896,0.049874,,0.25,-0.75,,-0.25,0.0,CLEAN,18.116628,59.649123,14/18,0.855128,-0.00191,False,False,True,17,4,2026-07-02,28,0.72065,0.035331,1.263597,0.332947,,-0.75,0.75,,0.0,0.25,PROXY,25.936775,83.278408,16/6,2.144371,0.006982,False,False,True,8,4,2026-07-02,28,1.28065,0.065171,-0.180921,0.045183,,-0.25,-0.75,,-0.5,-0.25,NA,30.232558,51.104651,2/4,0.40864,-0.001751,False,False,True,26,4,-0.25,▼,50.0,1,PIN|NEXT,-0.75,▼,83.333333,1,NEXT,-0.25,▼,50.0,1,NEXT,-0.5,▼,66.666667,0,NO_VOTE|NEXT,0.0,—,16.666667,0,NO_VOTE|NEXT,-0.5,▼,16.666667,1,PIN|NEXT,0.0,—,50.0,1,PIN|NEXT,-0.25,▼,50.0,0,NO_VOTE|PIN|NEXT,0.25,▲,50.0,0,NO_VOTE|PIN|NEXT,-0.5,▼,16.666667,1,NEXT,-0.25,▼,16.666667,0,NO_VOTE|NEXT,-0.75,▼,16.666667,0,NO_VOTE|NEXT,-0.25,▼,50.0,0,NO_VOTE|NEXT,0.25,▲,50.0,0,NO_VOTE|NEXT,0.5,▲,66.666667,0,NO_VOTE|NEXT
2026-06-05,-0.1,0.59304,62.5,CROSS,4,2026-07-02,27,1.15405,0.061618,0.840141,0.123975,,-0.8,-0.8,,-0.8,-0.9,CLEAN,13.53785,65.210362,21/14,31.293095,-0.318823,False,True,False,23,5,2026-07-02,27,1.3336,0.066624,-0.872877,0.064768,,0.8,-0.8,,0.0,-0.1,CLEAN,16.210614,56.535033,10/14,1.435105,0.020975,True,False,False,24,5,2026-07-02,27,0.006262,0.063833,3.743683,0.539377,,0.8,0.8,,0.8,0.7,CLEAN,22.884748,88.698413,13/6,6.163179,-0.027167,False,False,False,21,5,2026-07-02,27,0.70385,0.080663,-1.594557,0.197721,,0.8,-0.4,,0.2,0.1,CLEAN,16.738895,61.830153,11/10,8.230731,-0.077346,False,False,False,16,5,2026-07-02,27,0.718,0.046699,,0.508882,,0.8,,,0.8,0.7,PROXY,24.888733,91.953619,7/2,4.210912,0.002075,False,False,False,7,5,2026-07-02,27,1.26925,0.070863,-0.116413,-0.202118,,-0.8,-0.4,,-0.6,-0.7,NA,30.232558,54.825581,2/2,0.0,0.0,False,False,False,29,5,-0.8,▼,62.5,1,PIN|FLOW,-1.6,▼,87.5,1,FLOW,-1.0,▼,75.0,1,FLOW,-1.6,▼,87.5,0,NO_VOTE|FLOW,-0.2,▼,37.5,0,NO_VOTE|FLOW,-0.8,▼,62.5,1,PIN,-0.2,▼,87.5,1,PIN,-0.8,▼,87.5,0,NO_VOTE|PIN,0.6,▲,87.5,0,NO_VOTE|PIN,-0.6,▼,37.5,1,,0.0,—,12.5,0,NO_VOTE,-1.4,▼,87.5,0,NO_VOTE,-0.6,▼,87.5,0,NO_VOTE,0.8,▲,87.5,0,NO_VOTE,1.4,▲,87.5,0,NO_VOTE
2026-06-08,0.083333,0.37065,50.0,CROSS,4,2026-07-02,24,1.1545,0.060314,0.920304,0.098088,-0.07856,-0.833333,-0.166667,,-0.5,-0.416667,CLEAN,13.780981,65.72704,21/15,5.352629,-0.041436,False,False,False,30,6,2026-07-02,24,1.3338,0.06779,-0.96092,0.05111,0.293974,0.5,-0.833333,,-0.166667,-0.083333,CLEAN,15.656155,55.671414,10/15,1.886401,-0.015133,True,False,False,31,6,2026-07-02,24,0.006257,0.071406,3.862578,0.539612,0.085004,0.833333,0.833333,,0.833333,0.916667,CLEAN,22.098939,86.613831,14/7,7.977916,0.016729,False,False,False,24,6,2026-07-02,24,0.70395,0.082412,-1.849829,0.199347,0.363016,0.833333,-0.833333,,-0.0,0.083333,CLEAN,16.696455,61.864583,11/10,0.254188,0.001542,False,False,False,23,6,2026-07-02,24,0.7176,0.044017,1.270682,0.401001,-0.072375,-0.166667,0.8,,0.316667,0.4,PROXY,23.548316,89.971188,7/2,5.6922,-0.018974,False,False,False,24,6,2026-07-02,24,1.26645,0.069982,-0.267668,-0.304461,-0.425022,-0.833333,-0.833333,,-0.833333,-0.75,NA,30.171429,53.885714,2/2,1.744186,-0.012791,False,False,False,28,6,-0.333333,▼,50.0,1,PIN,-1.333333,▼,70.0,1,,-0.5,▼,50.0,1,,-0.816667,▼,70.0,0,NO_VOTE,0.333333,▲,60.0,0,NO_VOTE,-1.0,▼,80.0,1,PIN,-0.166667,▼,70.0,1,PIN,-0.483333,▼,50.0,0,NO_VOTE|PIN,0.666667,▲,90.0,0,NO_VOTE|PIN,-0.833333,▼,70.0,1,,-0.516667,▼,70.0,0,NO_VOTE,-1.666667,▼,90.0,0,NO_VOTE,-0.316667,▼,50.0,0,NO_VOTE,0.833333,▲,90.0,0,NO_VOTE,1.15,▲,70.0,0,NO_VOTE
2026-06-09,-0.0,0.79425,91.666667,CROSS,4,2026-07-02,23,1.1566,0.061538,0.896343,0.036971,-0.161126,-0.857143,-0.571429,-0.5,-0.571429,-0.571429,CLEAN,14.255908,57.213389,22/16,3.41409,-0.023278,False,False,False,30,7,2026-07-02,23,1.3387,0.068371,-0.887133,-0.064746,0.210391,0.285714,-0.571429,-0.5,-0.5,-0.5,CLEAN,15.416959,45.690259,10/16,1.617497,0.008545,True,False,False,32,7,2026-07-02,23,0.006253,0.068081,3.874692,0.583323,0.113437,0.857143,0.857143,0.5,0.857143,0.857143,CLEAN,21.628083,86.829391,15/7,1.597852,0.006264,False,False,False,23,7,2026-07-02,23,0.7028,0.08398,-2.043845,0.240293,0.444723,0.857143,-0.857143,0.5,0.5,0.5,CLEAN,16.745175,62.386927,11/11,-0.290951,0.010807,False,False,False,24,7,2026-07-02,23,0.7177,0.045672,1.372105,0.329577,-0.130954,-0.857143,0.833333,-0.5,-0.5,-0.5,PROXY,21.674827,86.638107,9/4,8.643617,-0.022606,False,False,False,25,7,2026-07-02,23,1.2664,0.071784,-0.193345,-0.310439,-0.416546,-0.857143,-0.571429,0.5,-0.571429,-0.571429,NA,30.102623,53.420753,2/2,0.228571,-0.009143,False,False,False,27,7,-0.071429,▼,25.0,1,PIN,-1.428571,▼,75.0,1,,-1.071429,▼,91.666667,1,,-0.071429,▼,25.0,0,NO_VOTE,0.0,—,16.666667,0,NO_VOTE,-1.357143,▼,91.666667,1,PIN,-1.0,▼,91.666667,1,PIN,0.0,—,16.666667,0,NO_VOTE|PIN,0.071429,▲,25.0,0,NO_VOTE|PIN,-0.357143,▼,8.333333,1,,-1.357143,▼,91.666667,0,NO_VOTE,-1.428571,▼,75.0,0,NO_VOTE,1.0,▲,91.666667,0,NO_VOTE,1.071429,▲,91.666667,0,NO_VOTE,0.071429,▲,8.333333,0,NO_VOTE
2026-06-10,0.645833,0.185325,28.571429,CROSS,4,2026-07-02,22,1.1564,0.061051,0.831125,0.033769,-0.241912,-0.875,-0.875,-0.666667,-0.875,-0.229167,CLEAN,14.241199,57.134439,22/17,0.722148,-0.005585,False,False,False,29,8,2026-07-02,22,1.3379,0.067127,-0.96491,-0.037247,0.113852,0.375,-0.875,-0.666667,-0.666667,-0.020833,CLEAN,15.19412,46.19407,10/16,1.466613,0.00896,True,False,False,31,8,2026-07-02,22,0.006247,0.077454,3.98501,0.601849,0.121864,0.875,0.875,0.666667,0.875,1.520833,CLEAN,20.306214,89.083724,16/8,6.336185,0.048314,False,False,False,26,8,2026-07-02,22,0.7005,0.085203,-1.86886,0.292258,0.237905,0.875,-0.625,-0.666667,-0.625,0.020833,CLEAN,16.691598,62.345217,11/11,0.32098,-0.002459,False,False,False,24,8,2026-07-02,22,0.71855,0.044532,1.218507,0.265674,-0.134527,-0.875,-0.285714,-0.666667,-0.666667,-0.020833,PROXY,21.039604,84.089109,9/5,3.019176,0.00306,False,False,False,24,8,2026-07-02,22,1.2639,0.071317,-0.294322,-0.35637,-0.27906,-0.875,-0.875,0.666667,-0.875,-0.229167,NA,30.051224,53.955606,2/2,0.171038,0.00057,False,False,False,26,8,-0.208333,▼,35.714286,1,PIN,-1.75,▼,92.857143,1,,-0.25,▼,28.571429,1,,-0.208333,▼,35.714286,0,NO_VOTE,0.0,—,21.428571,0,NO_VOTE,-1.541667,▼,92.857143,1,PIN,-0.041667,▼,50.0,1,PIN,0.0,—,21.428571,0,NO_VOTE|PIN,0.208333,▲,35.714286,0,NO_VOTE|PIN,-1.5,▼,92.857143,1,,-1.541667,▼,92.857143,0,NO_VOTE,-1.75,▼,92.857143,0,NO_VOTE,0.041667,▲,21.428571,0,NO_VOTE,0.25,▲,28.571429,0,NO_VOTE,0.208333,▲,21.428571,0,NO_VOTE
2026-06-11,0.097222,0.658933,68.75,CROSS,4,2026-07-02,21,1.15725,0.061239,0.97724,0.039445,-0.132366,-0.444444,0.444444,0.25,0.25,0.347222,CLEAN,13.250569,59.137457,24/17,-2.260734,0.03584,False,False,False,27,9,2026-07-02,21,1.3398,0.065574,-0.893212,-0.099349,0.064539,0.0,-0.444444,-0.75,-0.444444,-0.347222,CLEAN,14.347967,45.296926,10/17,6.413102,-0.015786,True,False,False,31,9,2026-07-02,21,0.006262,0.071987,4.399763,0.544555,0.0356,0.444444,0.888889,-0.75,0.444444,0.541667,CLEAN,20.014947,86.437947,16/8,1.325193,0.00071,False,False,False,23,9,2026-07-02,21,0.7025,0.085551,-1.903978,0.228643,0.178769,0.444444,-0.666667,-0.75,-0.666667,-0.569444,CLEAN,16.346545,61.524375,11/11,2.110862,0.000416,False,False,False,23,9,2026-07-02,21,0.7163,0.045193,1.440976,0.384377,0.05143,-0.222222,0.875,0.75,0.75,0.847222,PROXY,20.81089,87.748507,9/3,1.09901,0.004455,False,False,False,24,9,2026-07-02,21,1.2673,0.071566,-0.193671,-0.246016,-0.291199,-0.222222,-0.444444,0.25,-0.222222,-0.125,NA,27.696335,54.293194,2/2,8.708025,-0.011952,False,False,False,27,9,0.694444,▲,68.75,1,PIN,-0.194444,▼,18.75,1,,0.916667,▲,56.25,1,,-0.5,▼,56.25,0,NO_VOTE,0.472222,▲,81.25,0,NO_VOTE,-0.888889,▼,43.75,1,PIN,0.222222,▲,81.25,1,PIN,-1.194444,▼,93.75,0,NO_VOTE|PIN,-0.222222,▼,43.75,0,NO_VOTE|PIN,-1.111111,▼,81.25,1,,0.305556,▲,31.25,0,NO_VOTE,-0.666667,▼,6.25,0,NO_VOTE,-1.416667,▼,93.75,0,NO_VOTE,-0.444444,▼,56.25,0,NO_VOTE,0.972222,▲,68.75,0,NO_VOTE
2026-06-12,0.05,0.07413,16.666667,DOLLAR_PURE,4,2026-07-02,20,1.15885,0.056882,0.94544,-0.031576,-0.155551,-0.9,0.1,0.0,0.0,0.05,CLEAN,12.981768,58.31811,24/19,2.014306,-0.016507,False,False,False,25,10,2026-07-02,20,1.3414,0.062705,-0.830058,-0.142666,-0.207434,-0.1,0.5,-0.8,-0.1,-0.05,CLEAN,14.241016,31.472875,10/18,0.751008,0.005192,True,False,False,29,10,2026-07-02,20,0.006255,0.067799,4.253434,0.594414,0.055037,0.7,0.7,-0.4,0.7,0.75,CLEAN,19.701876,86.667126,17/8,1.683871,0.013102,False,False,False,23,10,2026-07-02,20,0.70435,0.081409,-1.688301,0.182934,-0.014787,-0.1,-0.1,-0.8,-0.1,-0.05,CLEAN,16.109886,61.303389,12/11,1.469032,0.002726,False,False,False,23,10,2026-07-02,20,0.7163,0.043617,1.381708,0.335576,-0.173307,-0.3,0.666667,-0.8,-0.3,-0.25,PROXY,20.238095,85.504762,9/3,2.830281,-0.025561,False,False,False,26,10,2026-07-02,20,1.26755,0.068877,-0.208346,-0.269552,-0.067434,-0.3,-0.5,0.8,-0.3,-0.25,NA,27.552083,53.90625,2/2,0.52356,-0.006283,False,False,False,28,10,0.1,▲,27.777778,1,PIN,-0.7,▼,38.888889,1,,0.1,▲,16.666667,1,,0.3,▲,38.888889,0,NO_VOTE,0.3,▲,50.0,0,NO_VOTE,-0.8,▼,27.777778,1,PIN,0.0,—,22.222222,1,PIN,0.2,▲,38.888889,0,NO_VOTE|PIN,0.2,▲,27.777778,0,NO_VOTE|PIN,-0.8,▼,50.0,1,,-1.0,▼,72.222222,0,NO_VOTE,-1.0,▼,38.888889,0,NO_VOTE,0.2,▲,27.777778,0,NO_VOTE,0.2,▲,16.666667,0,NO_VOTE,0.0,—,5.555556,0,NO_VOTE
2026-06-15,0.181818,0.235868,45.0,CROSS,4,2026-07-02,17,1.16075,0.054182,1.220464,-0.106776,-0.204864,-0.909091,0.909091,-0.5,-0.5,-0.318182,CLEAN,13.118897,47.668077,22/20,0.975177,-0.00857,False,False,False,25,11,2026-07-02,17,1.3418,0.062696,-0.684811,-0.144971,-0.196081,-0.181818,0.727273,-0.5,-0.181818,0.0,CLEAN,14.040102,32.162947,10/19,1.431004,0.008512,True,False,False,26,11,2026-07-02,17,0.006252,0.041845,4.846417,0.674353,0.134741,0.909091,0.909091,0.833333,0.909091,1.090909,CLEAN,19.363353,86.791048,17/8,1.807575,0.00921,False,False,False,21,11,2026-07-02,17,0.70705,0.07865,-1.709092,0.182727,-0.016621,-0.181818,-0.181818,-0.833333,-0.181818,0.0,CLEAN,15.037059,60.458935,12/12,7.13455,0.074634,False,False,False,20,11,2026-07-02,17,0.7158,0.045876,1.655622,0.367608,-0.033393,-0.181818,0.9,0.5,0.5,0.681818,PROXY,20.29027,89.477705,9/2,-0.257143,0.002,False,False,False,24,11,2026-07-02,17,1.2718,0.063837,-0.053605,-0.088221,0.21624,0.181818,0.363636,0.833333,0.363636,0.545455,NA,26.676752,52.79879,2/2,3.28125,0.031771,False,False,False,23,11,-0.318182,▼,55.0,1,PIN,-1.409091,▼,65.0,1,,-0.318182,▼,45.0,1,,-1.0,▼,85.0,0,NO_VOTE,-0.863636,▼,85.0,0,NO_VOTE,-1.090909,▼,75.0,1,PIN,0.0,—,25.0,1,PIN,-0.681818,▼,75.0,0,NO_VOTE|PIN,-0.545455,▼,75.0,0,NO_VOTE|PIN,-1.090909,▼,75.0,1,,-0.409091,▼,35.0,0,NO_VOTE,-0.545455,▼,5.0,0,NO_VOTE,-0.681818,▼,75.0,0,NO_VOTE,-0.545455,▼,65.0,0,NO_VOTE,0.136364,▲,25.0,0,NO_VOTE
2026-06-16,0.267857,0.2471,50.0,CROSS,4,2026-07-02,16,1.16235,0.059356,1.40581,-0.13064,-0.167611,-0.916667,0.916667,-0.285714,-0.285714,-0.017857,CLEAN,13.068327,47.903361,22/20,0.393753,-0.000656,False,False,False,26,12,2026-07-02,16,1.3428,0.062898,-0.919578,-0.184595,-0.119849,-0.583333,-0.583333,-0.285714,-0.583333,-0.315476,CLEAN,13.779896,30.223133,10/20,1.85538,-0.018645,True,False,False,28,12,2026-07-02,16,0.006246,0.07113,4.703123,0.645913,0.06259,0.75,0.75,-0.285714,0.75,1.017857,CLEAN,19.264429,88.555785,17/8,0.536931,-0.000993,False,False,False,20,12,2026-07-02,16,0.70685,0.076937,-1.75134,0.200532,-0.039761,0.416667,-0.25,-0.857143,-0.25,0.017857,CLEAN,15.048889,60.495261,12/12,-0.07861,-0.000262,False,False,False,20,12,2026-07-02,16,0.7155,0.044372,1.664254,0.377755,0.048178,-0.083333,0.909091,0.571429,0.571429,0.839286,PROXY,20.230388,89.384996,9/2,0.295999,-0.002578,False,False,False,24,12,2026-07-02,16,1.27305,0.064481,-0.214135,-0.041002,0.269437,0.416667,-0.583333,0.857143,0.416667,0.684524,NA,26.676752,52.79879,2/2,0.0,0.0,False,False,False,19,12,0.297619,▲,50.0,1,PIN,-1.035714,▼,50.0,1,,-0.035714,▼,13.636364,1,,-0.857143,▼,77.272727,0,NO_VOTE,-0.702381,▼,77.272727,0,NO_VOTE,-1.333333,▼,77.272727,1,PIN,-0.333333,▼,86.363636,1,PIN,-1.154762,▼,86.363636,0,NO_VOTE|PIN,-1.0,▼,95.454545,0,NO_VOTE|PIN,-1.0,▼,63.636364,1,,-0.178571,▼,13.636364,0,NO_VOTE,-0.333333,▼,4.545455,0,NO_VOTE,-0.821429,▼,77.272727,0,NO_VOTE,-0.666667,▼,68.181818,0,NO_VOTE,0.154762,▲,31.818182,0,NO_VOTE
2026-06-17,-0.769231,0.228092,37.5,CROSS,4,2026-07-02,15,1.155,0.058522,1.185621,0.015802,-0.017967,-0.461538,0.615385,0.875,0.615385,-0.153846,CLEAN,12.620175,57.239497,26/19,3.55108,-0.022066,False,False,False,23,13,2026-07-02,15,1.3336,0.060378,-0.670932,0.103073,0.14032,0.923077,0.923077,0.375,0.923077,0.153846,CLEAN,13.643575,55.817028,14/17,1.064446,0.006903,False,False,False,25,13,2026-07-02,15,0.006241,0.065214,4.908697,0.67455,0.072701,0.923077,0.923077,-0.125,0.923077,0.153846,CLEAN,18.816687,88.64584,18/8,4.943452,0.024212,False,False,False,18,13,2026-07-02,15,0.7039,0.073075,-1.68194,0.269264,-0.022994,0.769231,0.153846,-0.625,0.153846,-0.615385,CLEAN,15.106615,63.769697,13/12,-0.382123,-0.006294,False,False,False,19,13,2026-07-02,15,0.7115,0.044373,1.778697,0.737709,0.472034,0.923077,0.916667,0.875,0.916667,0.147436,PROXY,20.188106,96.247387,9/1,0.209444,0.003427,False,False,False,19,13,2026-07-02,15,1.26615,0.062751,-0.511261,-0.261891,0.094479,-0.307692,-0.923077,0.375,-0.307692,-1.076923,NA,26.676752,55.421079,2/2,0.0,0.0,False,False,False,18,13,-0.307692,▼,54.166667,1,,-0.307692,▼,20.833333,1,,0.461538,▲,54.166667,1,,-0.301282,▼,37.5,0,NO_VOTE,0.923077,▲,87.5,0,NO_VOTE,0.0,—,4.166667,1,,0.769231,▲,87.5,1,,0.00641,▲,29.166667,0,NO_VOTE,1.230769,▲,95.833333,0,NO_VOTE,-0.769231,▼,37.5,1,,-0.00641,▼,12.5,0,NO_VOTE,-1.230769,▼,62.5,0,NO_VOTE,-0.762821,▼,70.833333,0,NO_VOTE,0.461538,▲,54.166667,0,NO_VOTE,1.224359,▲,87.5,0,NO_VOTE
