session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-07-30,6E,FUT,6EQ6,2026-08-17,,,1.154200000,3,13452
2026-07-30,6E,FUT,6EU6,2026-09-14,,,1.155500000,3,767331
2026-07-30,6E,FUT,6EV6,2026-10-19,,,1.157100000,3,4845
2026-07-30,6E,FUT,6EX6,2026-11-16,,,1.158400000,3,1914
2026-07-30,6E,FUT,6EZ6,2026-12-14,,,1.159650000,3,14431
2026-07-30,6E,FUT,6EF7,2027-01-15,,,1.161200000,3,1400
2026-07-30,6E,FUT,6EG7,2027-02-12,,,1.162550000,3,2519
2026-07-30,6E,FUT,6EH7,2027-03-15,,,1.163950000,3,2813
2026-07-30,6E,FUT,6EJ7,2027-04-19,,,1.165600000,3,
2026-07-30,6E,FUT,6EK7,2027-05-17,,,1.166900000,3,1000
2026-07-30,6E,FUT,6EM7,2027-06-14,,,1.168200000,3,3083
2026-07-30,6E,FUT,6EN7,2027-07-19,,,1.169800000,3,1000
2026-07-30,6E,FUT,6EQ7,2027-08-16,,,1.171050000,3,
2026-07-30,6E,FUT,6EU7,2027-09-13,,,1.172300000,3,1230
2026-07-30,6E,FUT,6EV7,2027-10-18,,,1.173900000,3,
2026-07-30,6E,FUT,6EX7,2027-11-15,,,1.175150000,3,
2026-07-30,6E,FUT,6EZ7,2027-12-13,,,1.176400000,3,1525
2026-07-30,6E,FUT,6EF8,2028-01-14,,,1.177850000,3,
2026-07-30,6E,FUT,6EG8,2028-02-14,,,1.179200000,3,
2026-07-30,6E,FUT,6EH8,2028-03-13,,,1.180500000,3,
2026-07-30,6E,FUT,6EJ8,2028-04-17,,,1.182050000,3,
2026-07-30,6E,FUT,6EK8,2028-05-15,,,1.183300000,3,
2026-07-30,6E,FUT,6EM8,2028-06-16,,,1.184750000,3,
2026-07-30,6E,FUT,6EN8,2028-07-17,,,1.186150000,3,
2026-07-30,6E,FUT,6EU8,2028-09-18,,,1.188900000,3,
2026-07-30,6E,FUT,6EZ8,2028-12-18,,,1.192900000,3,350
2026-07-30,6E,FUT,6EH9,2029-03-19,,,1.196900000,3,
2026-07-30,6E,FUT,6EM9,2029-06-15,,,1.200750000,3,
2026-07-30,6E,FUT,6EU9,2029-09-17,,,1.204850000,3,
2026-07-30,6E,FUT,6EZ9,2029-12-17,,,1.208850000,3,
2026-07-30,6E,FUT,6EH0,2030-03-18,,,1.212850000,3,
2026-07-30,6E,FUT,6EM0,2030-06-17,,,1.216850000,3,
2026-07-30,6E,FUT,6EU0,2030-09-16,,,1.220850000,3,
2026-07-30,6E,FUT,6EZ0,2030-12-16,,,1.224800000,3,
2026-07-30,6E,FUT,6EH1,2031-03-17,,,1.228800000,3,
2026-07-30,6E,FUT,6EM1,2031-06-16,,,1.232800000,3,
