session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-08-25,6A,FUT,6AU6,2026-09-14,,,0.715750000,3,330870
2026-08-25,6A,FUT,6AV6,2026-10-19,,,0.715350000,3,137
2026-08-25,6A,FUT,6AX6,2026-11-16,,,0.715050000,3,10
2026-08-25,6A,FUT,6AZ6,2026-12-14,,,0.714650000,3,2660
2026-08-25,6A,FUT,6AF7,2027-01-15,,,0.714350000,3,
2026-08-25,6A,FUT,6AG7,2027-02-12,,,0.714050000,3,
2026-08-25,6A,FUT,6AH7,2027-03-15,,,0.713700000,3,209
2026-08-25,6A,FUT,6AJ7,2027-04-19,,,0.713350000,3,
2026-08-25,6A,FUT,6AK7,2027-05-17,,,0.713100000,3,
2026-08-25,6A,FUT,6AM7,2027-06-14,,,0.712800000,3,34
2026-08-25,6A,FUT,6AN7,2027-07-19,,,0.712500000,3,
2026-08-25,6A,FUT,6AQ7,2027-08-16,,,0.712250000,3,
2026-08-25,6A,FUT,6AU7,2027-09-13,,,0.712000000,3,30
2026-08-25,6A,FUT,6AV7,2027-10-18,,,0.711700000,3,
2026-08-25,6A,FUT,6AX7,2027-11-15,,,0.711450000,3,
2026-08-25,6A,FUT,6AZ7,2027-12-13,,,0.711250000,3,5
2026-08-25,6A,FUT,6AF8,2028-01-14,,,0.710950000,3,
2026-08-25,6A,FUT,6AG8,2028-02-14,,,0.710700000,3,
2026-08-25,6A,FUT,6AH8,2028-03-13,,,0.710450000,3,
2026-08-25,6A,FUT,6AJ8,2028-04-17,,,0.710150000,3,
2026-08-25,6A,FUT,6AK8,2028-05-15,,,0.709950000,3,
2026-08-25,6A,FUT,6AM8,2028-06-16,,,0.709650000,3,
2026-08-25,6A,FUT,6AN8,2028-07-17,,,0.709400000,3,
2026-08-25,6A,FUT,6AQ8,2028-08-14,,,0.709150000,3,
2026-08-25,6A,FUT,6AU8,2028-09-18,,,0.708850000,3,
2026-08-25,6A,FUT,6AZ8,2028-12-18,,,0.707950000,3,
2026-08-25,6A,FUT,6AH9,2029-03-19,,,0.707050000,3,
2026-08-25,6A,FUT,6AM9,2029-06-15,,,0.706200000,3,
2026-08-25,6A,FUT,6AU9,2029-09-17,,,0.705250000,3,
2026-08-25,6A,FUT,6AZ9,2029-12-17,,,0.704350000,3,
2026-08-25,6A,FUT,6AH0,2030-03-18,,,0.703500000,3,
2026-08-25,6A,FUT,6AM0,2030-06-17,,,0.702600000,3,
2026-08-25,6A,FUT,6AU0,2030-09-16,,,0.701700000,3,
2026-08-25,6A,FUT,6AZ0,2030-12-16,,,0.700800000,3,
2026-08-25,6A,FUT,6AH1,2031-03-17,,,0.699900000,3,
2026-08-25,6A,FUT,6AM1,2031-06-16,,,0.699000000,3,
