Date,Value
2018-01-03,1.79
2018-01-04,1.78
2018-01-05,1.78
2018-01-08,1.78
2018-01-09,1.78
2018-01-10,1.78
2018-01-11,1.78
2018-01-12,1.78
2018-01-15,1.78
2018-01-16,1.78
2018-01-17,1.79
2018-01-18,1.8
2018-01-19,1.81
2018-01-22,1.81
2018-01-23,1.81
2018-01-24,1.81
2018-01-25,1.8
2018-01-26,1.78
2018-01-29,1.78
2018-01-30,1.78
2018-01-31,1.78
2018-02-01,1.78
2018-02-02,1.78
2018-02-05,1.78
2018-02-07,1.77
2018-02-08,1.77
2018-02-09,1.77
2018-02-12,1.77
2018-02-13,1.77
2018-02-14,1.77
2018-02-15,1.77
2018-02-16,1.77
2018-02-19,1.77
2018-02-20,1.77
2018-02-21,1.77
2018-02-22,1.77
2018-02-23,1.77
2018-02-26,1.77
2018-02-27,1.77
2018-02-28,1.77
2018-03-01,1.77
2018-03-02,1.77
2018-03-05,1.77
2018-03-06,1.78
2018-03-07,1.78
2018-03-08,1.78
2018-03-09,1.77
2018-03-12,1.77
2018-03-13,1.77
2018-03-14,1.77
2018-03-15,1.77
2018-03-16,1.76
2018-03-19,1.76
2018-03-20,1.75
2018-03-21,1.75
2018-03-22,1.75
2018-03-23,1.75
2018-03-26,1.75
2018-03-27,1.75
2018-03-28,1.75
2018-03-29,1.75
2018-04-03,1.75
2018-04-04,1.75
2018-04-05,1.76
2018-04-06,1.75
2018-04-09,1.75
2018-04-10,1.75
2018-04-11,1.75
2018-04-12,1.78
2018-04-13,1.79
2018-04-16,1.79
2018-04-17,1.79
2018-04-18,1.81
2018-04-19,1.81
2018-04-20,1.81
2018-04-23,1.81
2018-04-24,1.81
2018-04-26,1.81
2018-04-27,1.81
2018-04-30,1.81
2018-05-01,1.81
2018-05-02,1.81
2018-05-03,1.81
2018-05-04,1.81
2018-05-07,1.81
2018-05-08,1.81
2018-05-09,1.81
2018-05-10,1.8
2018-05-11,1.79
2018-05-14,1.79
2018-05-15,1.79
2018-05-16,1.79
2018-05-17,1.79
2018-05-18,1.79
2018-05-21,1.79
2018-05-22,1.78
2018-05-23,1.78
2018-05-24,1.78
2018-05-25,1.78
2018-05-28,1.78
2018-05-29,1.78
2018-05-30,1.78
2018-05-31,1.78
2018-06-01,1.78
2018-06-05,1.78
2018-06-06,1.78
