session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-06-16,6B,FUT,6BN6,2026-07-13,,,1.342800000,3,263
2026-06-16,6B,FUT,6BQ6,2026-08-17,,,1.342700000,3,345
2026-06-16,6B,FUT,6BU6,2026-09-14,,,1.342600000,3,239986
2026-06-16,6B,FUT,6BV6,2026-10-19,,,1.342400000,3,
2026-06-16,6B,FUT,6BX6,2026-11-16,,,1.342300000,3,
2026-06-16,6B,FUT,6BZ6,2026-12-14,,,1.342100000,3,1179
2026-06-16,6B,FUT,6BF7,2027-01-15,,,1.342000000,3,
2026-06-16,6B,FUT,6BG7,2027-02-12,,,1.341800000,3,
2026-06-16,6B,FUT,6BH7,2027-03-15,,,1.341600000,3,2243
2026-06-16,6B,FUT,6BJ7,2027-04-19,,,1.341500000,3,
2026-06-16,6B,FUT,6BK7,2027-05-17,,,1.341300000,3,
2026-06-16,6B,FUT,6BM7,2027-06-14,,,1.341200000,3,468
2026-06-16,6B,FUT,6BN7,2027-07-19,,,1.341000000,3,
2026-06-16,6B,FUT,6BQ7,2027-08-16,,,1.340800000,3,
2026-06-16,6B,FUT,6BU7,2027-09-13,,,1.340700000,3,1
2026-06-16,6B,FUT,6BV7,2027-10-18,,,1.340500000,3,
2026-06-16,6B,FUT,6BX7,2027-11-15,,,1.340300000,3,
2026-06-16,6B,FUT,6BZ7,2027-12-13,,,1.340200000,3,
2026-06-16,6B,FUT,6BF8,2028-01-14,,,1.340000000,3,
2026-06-16,6B,FUT,6BG8,2028-02-14,,,1.339800000,3,
2026-06-16,6B,FUT,6BH8,2028-03-13,,,1.339700000,3,
2026-06-16,6B,FUT,6BJ8,2028-04-17,,,1.339500000,3,
2026-06-16,6B,FUT,6BK8,2028-05-15,,,1.339300000,3,
2026-06-16,6B,FUT,6BM8,2028-06-16,,,1.339200000,3,
2026-06-16,6B,FUT,6BU8,2028-09-18,,,1.338400000,3,
2026-06-16,6B,FUT,6BZ8,2028-12-18,,,1.337600000,3,
2026-06-16,6B,FUT,6BH9,2029-03-19,,,1.336800000,3,
2026-06-16,6B,FUT,6BM9,2029-06-15,,,1.336000000,3,
2026-06-16,6B,FUT,6BU9,2029-09-17,,,1.335200000,3,
2026-06-16,6B,FUT,6BZ9,2029-12-17,,,1.334500000,3,
2026-06-16,6B,FUT,6BH0,2030-03-18,,,1.333700000,3,
2026-06-16,6B,FUT,6BM0,2030-06-17,,,1.332900000,3,
2026-06-16,6B,FUT,6BU0,2030-09-16,,,1.332100000,3,
2026-06-16,6B,FUT,6BZ0,2030-12-16,,,1.331300000,3,
2026-06-16,6B,FUT,6BH1,2031-03-17,,,1.330500000,3,
2026-06-16,6B,FUT,6BM1,2031-06-16,,,1.329800000,3,
